,density,pH,chlorides,pH,quality
238,0.99675,3.37,0.0969999999999999,3.37,6
239,0.99685,3.32,0.065,3.32,6
240,0.9971,3.0,0.263,3.0,5
241,0.99925,3.14,0.093,3.14,6
242,0.99565,3.08,0.102,3.08,6
243,1.00005,3.07,0.075,3.07,7
244,1.00005,3.07,0.075,3.07,7
245,0.9983,3.61,0.084,3.61,6
246,0.99685,3.38,0.075,3.38,5
247,0.9963,3.2,0.072,3.2,5
248,0.99615,3.35,0.074,3.35,6
249,0.9983,3.61,0.084,3.61,6
250,0.9985,3.22,0.063,3.22,6
251,0.9972,3.47,0.074,3.47,6
252,0.9986,3.17,0.09,3.17,5
253,0.9959,3.23,0.092,3.23,5
254,0.9972,3.47,0.074,3.47,6
255,0.99675,3.26,0.073,3.26,5
256,0.998,3.22,0.075,3.22,5
257,0.9968,3.49,0.075,3.49,5
258,0.9968,3.06,0.611,3.06,5
259,0.99965,3.36,0.085,3.36,7
260,0.99625,3.29,0.077,3.29,5
261,0.99565,3.35,0.087,3.35,4
262,0.99575,3.34,0.07,3.34,5
263,0.9963,3.28,0.077,3.28,5
264,0.9999,3.08,0.064,3.08,5
265,0.9968,3.2,0.071,3.2,7
266,1.00025,3.6,0.096,3.6,4
267,0.9973,3.35,0.078,3.35,8
268,0.9987,3.69,0.077,3.69,6
269,0.9996,3.28,0.104,3.28,6
270,0.9965,3.36,0.087,3.36,6
271,0.9996,3.28,0.104,3.28,6
272,0.99935,3.22,0.071,3.22,5
273,0.99735,3.31,0.076,3.31,5
274,0.99915,3.38,0.088,3.38,5
275,0.9965,3.36,0.087,3.36,6
276,0.9987,3.69,0.077,3.69,6
277,0.9996,3.28,0.104,3.28,6
278,0.9976,3.23,0.073,3.23,8
279,0.9991,3.38,0.087,3.38,7
280,0.9986,3.12,0.071,3.12,6
281,0.9972,3.25,0.358,3.25,7
282,0.9971,3.36,0.067,3.36,5
283,0.9991,3.38,0.087,3.38,7
284,1.00015,3.31,0.102,3.31,5
285,1.00015,3.31,0.102,3.31,5
286,0.9997,3.1,0.073,3.1,6
287,0.9967,3.37,0.092,3.37,6
288,0.9976,3.34,0.091,3.34,7
289,1.001,3.2,0.105,3.2,5
290,0.9976,3.34,0.091,3.34,7
291,0.9979,3.3,0.3429999999999999,3.3,5
292,0.9994,3.22,0.091,3.22,6
293,0.9964,3.41,0.098,3.41,6
294,1.0014,3.05,0.094,3.05,6
295,1.0001,3.05,0.073,3.05,5
296,0.9981,3.16,0.086,3.16,5
297,0.99855,3.67,0.083,3.67,5
298,0.9993,3.67,0.094,3.67,5
299,0.99845,3.68,0.08,3.68,5
300,0.9965,3.38,0.086,3.38,6
301,0.9973,3.22,0.068,3.22,6
302,0.9994,3.51,0.092,3.51,5
303,0.996,3.39,0.186,3.39,5
304,0.9973,3.2,0.1119999999999999,3.2,5
305,0.9998,3.12,0.063,3.12,6
306,0.9966,3.36,0.0819999999999999,3.36,5
307,0.9994,3.19,0.213,3.19,6
308,0.9994,3.19,0.214,3.19,6
309,0.9968,3.41,0.062,3.41,6
310,0.9998,3.12,0.063,3.12,6
311,0.996,3.27,0.072,3.27,6
312,0.99815,3.32,0.093,3.32,6
313,0.9976,3.3,0.076,3.3,5
314,0.99645,3.39,0.087,3.39,5
315,0.9962,3.42,0.096,3.42,6
316,0.9996,3.3,0.102,3.3,5
317,0.99865,3.3,0.0819999999999999,3.3,6
318,0.9989,3.37,0.083,3.37,7
319,0.99865,3.3,0.0819999999999999,3.3,6
320,0.9989,3.37,0.083,3.37,7
321,0.99975,3.24,0.09,3.24,5
322,0.99735,3.29,0.079,3.29,5
323,0.999,3.28,0.09,3.28,6
324,1.0015,3.16,0.071,3.16,6
325,1.0015,3.16,0.071,3.16,6
326,0.9978,3.05,0.121,3.05,7
327,0.998,3.28,0.107,3.28,5
328,1.0002,3.16,0.0819999999999999,3.16,6
329,0.9981,3.18,0.061,3.18,5
330,0.998,3.23,0.122,3.23,6
331,0.998,3.23,0.122,3.23,6
332,0.9973,3.22,0.066,3.22,6
333,0.9958,3.13,0.105,3.13,5
334,0.9963,3.34,0.078,3.34,7
335,0.9992,3.17,0.128,3.17,7
336,0.9948,3.35,0.052,3.35,6
337,0.9974,3.31,0.08,3.31,5
338,1.0008,3.16,0.103,3.16,6
339,0.9997,3.11,0.0819999999999999,3.11,7
340,1.0,3.12,0.066,3.12,6
341,0.9972,3.21,0.065,3.21,6
342,0.9982,3.3,0.118,3.3,6
343,0.9982,3.3,0.118,3.3,6
344,1.0006,3.12,0.0819999999999999,3.12,6
345,0.9979,3.6,0.067,3.6,5
346,0.9955,3.58,0.072,3.58,7
347,0.9986,3.02,0.093,3.02,6
348,0.9979,3.11,0.089,3.11,6
349,0.9994,3.36,0.093,3.36,6
350,1.0004,3.28,0.107,3.28,6
351,0.9994,3.35,0.096,3.35,6
352,0.9974,3.27,0.09,3.27,5
353,1.0018,3.18,0.12,3.18,5
354,0.9912,3.25,0.066,3.25,6
355,0.9955,3.55,0.078,3.55,6
356,1.0001,3.26,0.08,3.26,5
357,0.997,3.24,0.1159999999999999,3.24,7
358,1.0,3.15,0.109,3.15,7
359,1.001,3.17,0.088,3.17,6
360,0.9973,3.19,0.099,3.19,5
361,0.9982,3.37,0.086,3.37,6
362,0.9992,3.05,0.072,3.05,5
363,0.9988,2.99,0.071,2.99,5
364,1.0022,3.07,0.083,3.07,7
365,0.9979,3.26,0.107,3.26,6
366,1.0022,3.07,0.083,3.07,7
367,1.0,3.16,0.076,3.16,5
368,0.9998,3.18,0.159,3.18,5
369,0.9962,3.2,0.074,3.2,7
370,0.9975,3.57,0.063,3.57,5
371,0.9967,3.32,0.0559999999999999,3.32,6
372,0.9967,3.32,0.067,3.32,6
373,0.9959,3.05,0.106,3.05,5
374,1.0014,3.01,0.089,3.01,6
375,0.9984,3.01,0.124,3.01,7
376,1.0003,3.26,0.078,3.26,6
377,0.9962,3.2,0.074,3.2,7
378,0.9988,3.11,0.088,3.11,6
379,0.9979,3.31,0.094,3.31,6
380,0.9974,3.21,0.08,3.21,6
381,1.0014,3.06,0.085,3.06,6
382,0.9974,3.21,0.08,3.21,6
383,0.9974,3.21,0.08,3.21,6
384,0.998,3.42,0.087,3.42,5
385,0.9979,3.43,0.09,3.43,6
386,0.9981,3.41,0.088,3.41,6
387,0.9972,3.31,0.079,3.31,6
388,0.9981,3.43,0.088,3.43,6
389,0.9982,3.19,0.096,3.19,7
390,0.9924,3.56,0.045,3.56,8
391,1.0014,3.06,0.085,3.06,6
392,0.998,3.18,0.0819999999999999,3.18,5
393,0.997,3.16,0.1119999999999999,3.16,5
394,0.9997,3.03,0.063,3.03,5
395,1.0004,3.22,0.066,3.22,7
396,0.9994,3.47,0.122,3.47,5
397,0.9988,3.18,0.087,3.18,6
398,0.9988,3.18,0.087,3.18,6
399,0.9963,3.1,0.064,3.1,5
400,0.9994,3.47,0.122,3.47,5
401,0.9949,3.29,0.059,3.29,6
402,1.0,3.1,0.085,3.1,6
403,0.9994,3.15,0.085,3.15,6
404,0.9974,3.26,0.075,3.26,5
405,0.9966,3.36,0.059,3.36,6
406,0.9981,3.24,0.063,3.24,6
407,0.9996,3.18,0.093,3.18,7
408,0.997,3.19,0.174,3.19,6
409,0.9981,3.05,0.07,3.05,4
410,0.9987,3.38,0.08,3.38,6
411,0.9987,3.38,0.08,3.38,5
412,0.9966,3.27,0.1,3.27,5
413,0.9986,3.27,0.0969999999999999,3.27,7
414,0.9982,3.26,0.087,3.26,5
415,1.0014,3.32,0.1169999999999999,3.32,5
416,0.997,3.26,0.111,3.26,6
417,0.9956,3.44,0.091,3.44,5
418,0.9996,3.24,0.121,3.24,6
419,0.9976,3.62,0.066,3.62,5
420,0.9972,3.28,0.089,3.28,7
421,0.9952,3.52,0.059,3.52,7
422,0.9955,3.36,0.047,3.36,5
423,0.9978,3.15,0.066,3.15,7
424,0.9955,3.36,0.047,3.36,5
425,0.9952,3.52,0.059,3.52,7
426,0.9949,3.49,0.045,3.49,6
427,0.9988,3.26,0.077,3.26,6
428,0.9978,3.24,0.07,3.24,5
429,0.9997,3.1,0.088,3.1,6
430,0.9978,3.15,0.066,3.15,7
431,0.9974,3.25,0.074,3.25,5
432,0.9958,3.0,0.078,3.0,6
433,1.0004,3.16,0.091,3.16,5
434,0.9996,3.15,0.076,3.15,6
435,1.0004,3.16,0.091,3.16,5
436,0.9958,3.26,0.06,3.26,6
437,0.9986,3.17,0.066,3.17,6
438,0.9996,3.15,0.076,3.15,6
439,0.9951,3.08,0.062,3.08,5
440,0.9987,2.88,0.072,2.88,8
441,0.9988,3.06,0.068,3.06,6
442,1.0032,2.95,0.1,2.95,7
443,0.9963,3.23,0.077,3.23,7
444,0.9934,3.57,0.054,3.57,7
445,0.9986,3.23,0.079,3.23,6
446,0.9996,3.1,0.081,3.1,5
447,0.9968,3.22,0.127,3.22,5
448,0.9967,3.2,0.1,3.2,6
449,0.9994,3.1,0.095,3.1,6
450,0.9994,3.1,0.095,3.1,6
451,0.9979,3.06,0.413,3.06,6
452,0.9968,3.44,0.084,3.44,6
453,0.9998,3.26,0.084,3.26,7
454,0.9952,3.5,0.063,3.5,5
455,0.9988,3.22,0.086,3.22,8
456,0.9986,3.37,0.095,3.37,5
457,0.9988,3.28,0.0969999999999999,3.28,5
458,0.9998,3.26,0.084,3.26,7
459,1.0008,3.25,0.074,3.25,3
460,0.9976,3.35,0.083,3.35,6
461,0.9982,3.26,0.087,3.26,5
462,0.997,3.18,0.085,3.18,5
463,0.9972,3.08,0.098,3.08,5
464,0.9987,2.98,0.084,2.98,6
465,1.0006,3.48,0.098,3.48,5
466,0.9982,3.16,0.069,3.16,6
467,0.9947,3.32,0.065,3.32,6
468,1.0,3.17,0.09,3.17,6
469,0.9952,3.2,0.07,3.2,5
470,0.9996,3.05,0.093,3.05,5
471,0.997,3.2,0.081,3.2,6
472,0.9995,3.15,0.083,3.15,6
473,0.9971,3.26,0.062,3.26,5
474,0.9982,3.2,0.08,3.2,6
475,0.9988,3.14,0.087,3.14,5
476,0.998,3.28,0.091,3.28,5
477,0.9977,3.18,0.075,3.18,6
478,0.9988,3.14,0.087,3.14,5
479,0.9984,3.19,0.077,3.19,6
480,1.0026,3.12,0.069,3.12,5
481,0.9964,3.15,0.08,3.15,8
482,0.9986,3.04,0.152,3.04,5
483,0.9986,3.04,0.152,3.04,5
484,0.997,3.06,0.114,3.06,6
485,0.9976,3.17,0.054,3.17,5
486,0.9976,3.17,0.054,3.17,5
487,0.9982,3.17,0.053,3.17,6
488,1.0002,3.32,0.081,3.32,7
489,0.9984,3.34,0.073,3.34,6
490,0.9984,3.31,0.078,3.31,6
491,0.9952,3.34,0.055,3.34,7
492,0.995,3.32,0.052,3.32,7
493,1.0002,3.48,0.086,3.48,6
494,0.9952,3.44,0.051,3.44,6
495,0.9972,3.15,0.07,3.15,8
496,0.9984,3.43,0.081,3.43,6
497,0.9966,3.32,0.09,3.32,5
498,0.9972,3.15,0.07,3.15,8
499,1.0002,3.48,0.086,3.48,6
500,0.9984,3.43,0.081,3.43,6
501,0.999,3.17,0.074,3.17,7
502,0.999,3.17,0.074,3.17,7
503,0.9976,3.18,0.078,3.18,7
504,0.9976,3.21,0.077,3.21,7
505,0.9968,3.16,0.072,3.16,7
506,0.9976,3.25,0.075,3.25,7
507,1.0,3.17,0.084,3.17,6
508,0.9994,3.18,0.09,3.18,6
509,0.9986,3.04,0.084,3.04,7
510,0.9978,3.02,0.073,3.02,5
511,0.9994,3.18,0.09,3.18,6
512,0.998,3.03,0.125,3.03,6
513,0.9973,3.09,0.107,3.09,7
514,0.9973,3.09,0.107,3.09,7
515,1.001,3.31,0.122,3.31,5
516,1.001,3.25,0.1,3.25,6
517,0.9994,3.16,0.2,3.16,3
518,0.9972,3.22,0.088,3.22,6
519,0.9966,3.36,0.088,3.36,5
520,0.9982,3.42,0.088,3.42,6
521,0.998,3.48,0.088,3.48,5
522,0.9979,3.38,0.099,3.38,5
523,0.9978,3.22,0.085,3.22,5
524,0.9976,3.23,0.086,3.23,5
525,0.9998,3.24,0.105,3.24,5
526,0.9966,3.36,0.088,3.36,5
527,0.9962,3.39,0.0969999999999999,3.39,6
528,0.9988,3.34,0.084,3.34,6
529,0.9974,3.09,0.077,3.09,5
530,0.999,3.41,0.078,3.41,6
531,1.0004,3.16,0.098,3.16,5
532,1.0004,3.16,0.098,3.16,5
533,0.9956,3.22,0.072,3.22,6
534,1.0,3.28,0.102,3.28,6
535,0.999,3.41,0.078,3.41,6
536,0.9974,3.09,0.077,3.09,5
537,0.9972,3.37,0.084,3.37,6
538,1.0014,3.2,0.066,3.2,7
539,0.9996,3.22,0.1,3.22,5
540,0.9988,3.26,0.1009999999999999,3.26,5
541,0.9988,3.21,0.064,3.21,6
542,0.9966,3.12,0.07,3.12,5
543,0.9993,3.06,0.085,3.06,6
544,1.0008,2.86,0.075,2.86,6
545,0.9982,3.08,0.094,3.08,5
546,0.9983,3.45,0.078,3.45,6
547,0.9987,3.26,0.067,3.26,6
548,0.9994,3.12,0.079,3.12,6
549,0.9975,3.27,0.171,3.27,6
550,0.9958,3.33,0.074,3.33,6
551,0.998,3.19,0.092,3.19,6
552,0.998,3.12,0.092,3.12,6
553,0.9934,3.74,0.05,3.74,5
554,1.00315,2.92,0.095,2.92,5
555,1.00315,2.92,0.095,2.92,5
556,1.0002,3.07,0.118,3.07,6
557,1.00315,2.92,0.095,2.92,5
558,1.0002,3.07,0.118,3.07,6
559,1.0021,3.3,0.085,3.3,6
560,0.9994,3.14,0.075,3.14,5
561,0.9978,3.23,0.078,3.23,5
562,0.9982,3.08,0.094,3.08,5
563,0.9971,3.31,0.092,3.31,6
564,1.0021,3.3,0.085,3.3,6
565,0.9994,3.14,0.075,3.14,5
566,0.9991,3.32,0.226,3.32,6
567,0.9991,3.32,0.226,3.32,6
568,0.999,3.31,0.25,3.31,6
569,0.9946,3.57,0.095,3.57,6
570,1.0003,3.32,0.07,3.32,6
571,0.9946,3.57,0.095,3.57,6
572,0.9978,3.14,0.075,3.14,5
573,0.9991,3.3,0.07,3.3,4
574,0.9992,3.19,0.078,3.19,6
575,0.9993,3.2,0.079,3.2,6
576,0.9978,3.34,0.103,3.34,4
577,0.9982,3.3,0.083,3.3,5
578,0.9982,3.29,0.085,3.29,5
579,0.9976,3.14,0.063,3.14,6
580,1.0002,3.19,0.089,3.19,5
581,1.0002,3.19,0.089,3.19,5
582,1.0,3.19,0.083,3.19,5
583,0.9976,2.98,0.074,2.98,7
584,1.0002,3.3,0.093,3.3,7
585,0.998,3.47,0.091,3.47,6
586,0.9986,3.12,0.094,3.12,7
587,0.9967,3.26,0.108,3.26,5
588,0.9917,3.72,0.06,3.72,8
589,0.9976,3.05,0.059,3.05,7
590,0.9987,3.35,0.084,3.35,5
591,0.9922,3.12,0.07,3.12,6
592,0.9987,3.35,0.084,3.35,5
593,1.0004,3.29,0.094,3.29,5
594,0.9978,3.4,0.096,3.4,5
595,0.9998,3.27,0.086,3.27,5
596,0.9994,3.04,0.059,3.04,6
597,0.998,3.09,0.071,3.09,6
598,0.9967,3.2,0.078,3.2,6
599,1.0,3.0,0.0819999999999999,3.0,6
600,0.9962,3.26,0.088,3.26,4
601,1.0006,3.1,0.071,3.1,6
602,0.9975,3.3,0.081,3.3,5
603,1.0006,3.1,0.071,3.1,6
604,0.9984,3.17,0.096,3.17,6
605,0.9984,3.31,0.085,3.31,6
606,0.9973,3.34,0.072,3.34,7
607,0.9982,3.31,0.092,3.31,6
608,1.0026,3.32,0.11,3.32,6
609,0.9956,3.56,0.075,3.56,6
610,0.9983,3.39,0.083,3.39,5
611,1.0006,2.98,0.081,2.98,5
612,0.9965,3.32,0.077,3.32,6
613,0.9962,3.26,0.0579999999999999,3.26,5
614,0.9969,2.87,0.148,2.87,6
615,0.9997,3.5,0.079,3.5,5
616,0.9997,3.5,0.079,3.5,5
617,0.9982,3.03,0.079,3.03,6
618,1.0006,3.13,0.122,3.13,5
619,0.9988,3.09,0.088,3.09,5
620,0.9976,3.27,0.076,3.27,5
621,0.9976,3.28,0.078,3.28,5
622,0.9974,3.13,0.08,3.13,5
623,0.9974,3.49,0.077,3.49,6
624,0.9997,3.46,0.124,3.46,5
625,0.9997,3.46,0.124,3.46,5
626,0.9988,3.36,0.098,3.36,5
627,0.9988,3.36,0.098,3.36,5
628,0.9976,3.27,0.0969999999999999,3.27,6
629,0.9964,3.21,0.111,3.21,5
630,0.9976,3.27,0.0969999999999999,3.27,6
631,0.9988,3.25,0.105,3.25,5
632,0.9964,3.32,0.087,3.32,6
633,1.001,3.43,0.105,3.43,4
634,0.9964,3.27,0.073,3.27,5
635,0.9954,3.27,0.065,3.27,5
636,0.9979,3.24,0.086,3.24,5
637,0.9978,3.24,0.084,3.24,5
638,0.9964,3.35,0.143,3.35,7
639,0.997,3.18,0.067,3.18,6
640,0.9991,3.39,0.071,3.39,5
641,0.9992,3.46,0.071,3.46,5
642,0.9991,3.39,0.071,3.39,5
643,0.9992,3.46,0.071,3.46,5
644,0.9991,3.39,0.071,3.39,5
645,0.9984,3.37,0.115,3.37,7
646,0.9972,3.4,0.107,3.4,5
647,0.9967,3.32,0.07,3.32,4
648,0.9964,3.33,0.066,3.33,7
649,0.9948,3.16,0.068,3.16,6
650,0.9986,2.89,0.106,2.89,5
651,1.001,3.41,0.104,3.41,5
652,0.9976,2.98,0.096,2.98,5
653,0.9976,3.12,0.079,3.12,6
654,0.9979,3.08,0.074,3.08,5
655,1.0004,3.14,0.087,3.14,5
656,0.9986,2.89,0.106,2.89,5
